region_en,TL,TR,Location,deaths,sCh,cCh,rainfall_avg,temp_avg,humidity_avg
Adamawa,2011-11-21,2011-11-27,8,0.0,0.0,0.0,0.0,20.532857142857146,56.86285714285714
Adamawa,2011-11-28,2011-12-04,8,0.0,0.0,0.0,0.0,18.71142857142857,51.74714285714286
Adamawa,2011-12-05,2011-12-11,8,0.0,0.0,0.0,0.0,19.532857142857143,51.29571428571428
Adamawa,2011-12-12,2011-12-18,8,0.0,0.0,0.0,0.0,19.617142857142856,47.45285714285715
Adamawa,2011-12-19,2011-12-25,8,0.0,1.0,0.0,0.0,20.91142857142857,45.69571428571429
Adamawa,2011-12-26,2012-01-01,8,0.0,0.0,0.0,0.0,21.66428571428571,43.955714285714286
Adamawa,2012-01-02,2012-01-08,8,0.0,0.0,0.0,0.0,19.925714285714285,42.47571428571429
Adamawa,2012-01-09,2012-01-15,8,0.0,1.0,0.0,0.0,19.724285714285713,42.55428571428571
Adamawa,2012-01-16,2012-01-22,8,0.0,0.0,0.0,0.0,22.09857142857143,40.33142857142858
Adamawa,2012-01-23,2012-01-29,8,0.0,0.0,0.0,0.0,23.768571428571427,39.76428571428572
Adamawa,2012-01-30,2012-02-05,8,0.0,0.0,0.0,0.0,23.75,35.35
Adamawa,2012-02-06,2012-02-12,8,0.0,0.0,0.0,0.0014285714285714286,24.150000000000002,30.72857142857143
Adamawa,2012-02-13,2012-02-19,8,0.0,0.0,0.0,0.6842857142857143,25.222857142857144,46.78285714285715
Adamawa,2012-02-20,2012-02-26,8,0.0,0.0,0.0,0.39571428571428574,25.63714285714286,43.135714285714286
Adamawa,2012-02-27,2012-03-04,8,0.0,0.0,0.0,0.02,25.792857142857144,37.402857142857144
Adamawa,2012-03-05,2012-03-11,8,0.0,0.0,0.0,0.0,25.898571428571426,36.99428571428571
Adamawa,2012-03-12,2012-03-18,8,0.0,0.0,0.0,0.017142857142857144,26.381428571428568,29.682857142857138
Adamawa,2012-03-19,2012-03-25,8,0.0,0.0,0.0,0.0,26.099999999999998,24.308571428571433
Adamawa,2012-03-26,2012-04-01,8,0.0,0.0,0.0,0.27999999999999997,27.057142857142853,34.81
Adamawa,2012-04-02,2012-04-08,8,0.0,0.0,0.0,5.798571428571428,25.764285714285712,61.56571428571429
Adamawa,2012-04-09,2012-04-15,8,0.0,1.0,0.0,2.3871428571428566,25.482857142857142,69.10142857142857
Adamawa,2012-04-16,2012-04-22,8,0.0,0.0,0.0,5.47,23.904285714285717,75.00428571428571
Adamawa,2012-04-23,2012-04-29,8,0.0,0.0,0.0,0.4985714285714285,25.265714285714285,62.59285714285714
Adamawa,2012-04-30,2012-05-06,8,0.0,0.0,0.0,4.5842857142857145,25.108571428571427,69.37
Adamawa,2012-05-07,2012-05-13,8,0.0,0.0,0.0,8.904285714285715,23.01142857142857,80.56142857142856
Adamawa,2012-05-14,2012-05-20,8,0.0,0.0,0.0,4.2385714285714275,23.369999999999997,76.79857142857142
Adamawa,2012-05-21,2012-05-27,8,0.0,0.0,0.0,9.411428571428571,22.87285714285714,80.88714285714286
