TL,TR,sCh,cCh,deaths,region_en,district
2012-06-18,2012-06-24,0.0,,0.0,Littoral,Nylon Health District
2012-06-18,2012-06-24,0.0,,0.0,East,Ndelele Health District
2012-06-18,2012-06-24,0.0,,0.0,East,Nguelemendouka Health District
2012-06-18,2012-06-24,0.0,,0.0,East,Yokadouma Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Bogo Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Bourha Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Goulfey Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Guere Health District
2016-02-08,2016-02-14,0.0,,0.0,Littoral,Nylon Health District
2016-02-08,2016-02-14,0.0,,0.0,Littoral,Pouma Health District
2016-02-08,2016-02-14,0.0,,0.0,Littoral,Yabassi Health District
2016-02-08,2016-02-14,0.0,,0.0,East,Abong Mbang Health District
2016-02-08,2016-02-14,0.0,,0.0,East,Batouri Health District
2016-02-08,2016-02-14,0.0,,0.0,East,Bertoua Health District
2016-02-08,2016-02-14,0.0,,0.0,East,Betare Oya Health District
2017-01-02,2017-01-08,0.0,,0.0,South-West,Mundemba Health District
2017-01-02,2017-01-08,0.0,,0.0,South-West,Muyuka Health District
2017-01-02,2017-01-08,0.0,,0.0,South-West,Nguti Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Batouri Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Bertoua Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Betare Oya Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Doume Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Garoua Boulai Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Kette Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Lomie Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Mbang Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Messamena Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Moloundou Health District
2014-04-14,2014-04-20,0.0,,0.0,East,Ndelele Health District
2018-03-19,2018-03-25,0.0,,,West,Batcham Health District
2018-03-19,2018-03-25,0.0,,,West,Dschang Health District
2018-03-19,2018-03-25,0.0,,,West,Fontem Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Guidiguis Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Hina Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Kaele Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Kar Hay Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Kolofata Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Kousseri Health District
