Region,month_date,cases,deaths,CFR,rainfall_avg,temperature_avg,humidity_avg,year,month,cases_lag1,cases_lag2,rainfall_lag1,rainfall_lag2,temperature_lag1,temperature_lag2,humidity_lag1,humidity_lag2,risk_level,Region_Adamaoua,Region_Centre,Region_East,Region_Far North,Region_Littoral,Region_North,Region_North-West,Region_South,Region_South-West,Region_West
Adamaoua,2017-03-01,267,0,0.0,0.0064285714285714,25.690714285714286,36.71964285714286,2017,3,310.0,110.0,0.0,0.00028571428571428,22.374285714285715,21.961142857142857,37.14035714285714,47.01942857142857,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-04-01,117,0,0.0,3.3465714285714285,25.50657142857143,63.97514285714285,2017,4,267.0,310.0,0.0064285714285714,0.0,25.690714285714286,22.374285714285715,36.71964285714286,37.14035714285714,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-05-01,118,0,0.0,11.419642857142856,23.3125,80.73678571428572,2017,5,117.0,267.0,3.3465714285714285,0.0064285714285714,25.50657142857143,25.690714285714286,63.97514285714285,36.71964285714286,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-06-01,350,3,1.4583333333333335,10.705714285714288,22.61357142857143,83.29357142857143,2017,6,118.0,117.0,11.419642857142856,3.3465714285714285,23.3125,25.50657142857143,80.73678571428572,63.97514285714285,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-07-01,283,1,0.2941176470588235,9.875142857142858,21.697714285714287,85.08114285714285,2017,7,350.0,118.0,10.705714285714288,11.419642857142856,22.61357142857143,23.3125,83.29357142857143,80.73678571428572,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-08-01,498,2,0.837289029535865,14.91,21.371428571428574,86.7425,2017,8,283.0,350.0,9.875142857142858,10.705714285714288,21.697714285714287,22.61357142857143,85.08114285714285,83.29357142857143,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-09-01,319,0,0.0,13.431071428571428,21.340357142857144,86.61392857142857,2017,9,498.0,283.0,14.91,9.875142857142858,21.371428571428574,21.697714285714287,86.7425,85.08114285714285,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-10-01,279,0,0.0,5.175714285714286,22.165714285714284,82.84085714285715,2017,10,319.0,498.0,13.431071428571428,14.91,21.340357142857144,21.371428571428574,86.61392857142857,86.7425,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-11-01,129,0,0.0,1.389285714285714,22.129285714285714,74.35857142857142,2017,11,279.0,319.0,5.175714285714286,13.431071428571428,22.165714285714284,21.340357142857144,82.84085714285715,86.61392857142857,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-12-01,140,0,0.0,0.0,21.293714285714284,58.868857142857145,2017,12,129.0,279.0,1.389285714285714,5.175714285714286,22.129285714285714,22.165714285714284,74.35857142857142,82.84085714285715,0,1,0,0,0,0,0,0,0,0,0
