ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Quintile,Service level
CMR,Cameroon,total,Drinking water,2014,7.1801,316784.41017,Poorest,Limited service
CMR,Cameroon,rural,Drinking water,2014,6.55647,133133.66837,Poorest,Limited service
CMR,Cameroon,urban,Drinking water,2014,17.58225,418705.33629,Poorest,Limited service
CMR,Cameroon,total,Hygiene,2014,7.80105,344180.5799,Poorest,Limited service
CMR,Cameroon,rural,Hygiene,2014,8.49804,172558.62998,Poorest,Limited service
CMR,Cameroon,urban,Hygiene,2014,5.87685,139951.85658,Poorest,Limited service
CMR,Cameroon,total,Sanitation,2014,0.75971,33518.24953,Poorest,Limited service
CMR,Cameroon,rural,Sanitation,2014,0.91314,18541.94283,Poorest,Limited service
CMR,Cameroon,urban,Sanitation,2014,18.08292,430628.49306,Poorest,Limited service
CMR,Cameroon,total,Hygiene,2014,89.71484,3958199.38907,Poorest,No handwashing facility
CMR,Cameroon,rural,Hygiene,2014,90.04931,1828513.33428,Poorest,No handwashing facility
CMR,Cameroon,urban,Hygiene,2014,88.12568,2098633.29631,Poorest,No handwashing facility
CMR,Cameroon,total,Sanitation,2014,27.09117,1195256.68741,Poorest,Open defecation
CMR,Cameroon,rural,Sanitation,2014,31.10788,631667.02291,Poorest,Open defecation
CMR,Cameroon,urban,Sanitation,2014,4.2045,100126.33862,Poorest,Open defecation
CMR,Cameroon,total,Drinking water,2014,16.11708,711081.95496,Poorest,Surface water
CMR,Cameroon,rural,Drinking water,2014,17.13568,347951.89608,Poorest,Surface water
CMR,Cameroon,urban,Drinking water,2014,4.48119,106715.40056,Poorest,Surface water
CMR,Cameroon,total,Drinking water,2014,36.35305,1603888.97998,Poorest,Unimproved
CMR,Cameroon,rural,Drinking water,2014,38.83024,788474.78997,Poorest,Unimproved
CMR,Cameroon,urban,Drinking water,2014,13.18214,313920.81052,Poorest,Unimproved
CMR,Cameroon,total,Sanitation,2014,68.13643,3006164.62309,Poorest,Unimproved
CMR,Cameroon,rural,Sanitation,2014,65.58557,1331760.23641,Poorest,Unimproved
CMR,Cameroon,urban,Sanitation,2014,50.04514,1191779.68618,Poorest,Unimproved
CMR,Cameroon,total,Drinking water,2014,78.24578,3452187.0228,Rich,At least basic
CMR,Cameroon,rural,Drinking water,2014,47.57058,965953.53558,Rich,At least basic
CMR,Cameroon,urban,Drinking water,2014,84.38263,2009496.00612,Rich,At least basic
CMR,Cameroon,total,Sanitation,2014,50.65262,2234782.65862,Rich,At least basic
CMR,Cameroon,rural,Sanitation,2014,17.81602,361766.67448,Rich,At least basic
CMR,Cameroon,urban,Sanitation,2014,64.60274,1538455.81556,Rich,At least basic
CMR,Cameroon,total,Hygiene,2014,5.44622,240286.13506,Rich,Basic service
CMR,Cameroon,rural,Hygiene,2014,2.46199,49992.46057,Rich,Basic service
CMR,Cameroon,urban,Hygiene,2014,11.55831,275250.65679,Rich,Basic service
CMR,Cameroon,total,Drinking water,2014,12.47831,550540.34085,Rich,Limited service
CMR,Cameroon,rural,Drinking water,2014,10.69775,217225.27317,Rich,Limited service
CMR,Cameroon,urban,Drinking water,2014,11.31696,269503.08276,Rich,Limited service
CMR,Cameroon,total,Hygiene,2014,4.31493,190373.92509,Rich,Limited service
CMR,Cameroon,rural,Hygiene,2014,5.41385,109932.02557,Rich,Limited service
CMR,Cameroon,urban,Hygiene,2014,4.34957,103581.16559,Rich,Limited service
CMR,Cameroon,total,Sanitation,2014,36.91121,1628514.85796,Rich,Limited service
CMR,Cameroon,rural,Sanitation,2014,12.78829,259675.0036,Rich,Limited service
CMR,Cameroon,urban,Sanitation,2014,32.21729,767225.52823,Rich,Limited service
CMR,Cameroon,total,Hygiene,2014,90.23885,3981318.53985,Rich,No handwashing facility
CMR,Cameroon,rural,Hygiene,2014,92.12415,1870644.51386,Rich,No handwashing facility
CMR,Cameroon,urban,Hygiene,2014,84.09212,2002577.77763,Rich,No handwashing facility
CMR,Cameroon,total,Sanitation,2014,0.30106,13282.80579,Rich,Open defecation
CMR,Cameroon,rural,Sanitation,2014,4.95661,100647.31025,Rich,Open defecation
CMR,Cameroon,urban,Sanitation,2014,0,0,Rich,Open defecation
CMR,Cameroon,total,Drinking water,2014,1.75801,77563.02832,Rich,Surface water
CMR,Cameroon,rural,Drinking water,2014,14.98631,304307.42153,Rich,Surface water
CMR,Cameroon,urban,Drinking water,2014,0.7532,17936.80775,Rich,Surface water
CMR,Cameroon,total,Drinking water,2014,7.5179,331688.20803,Rich,Unimproved
CMR,Cameroon,rural,Drinking water,2014,26.74535,543082.76972,Rich,Unimproved
CMR,Cameroon,urban,Drinking water,2014,3.54721,84473.70337,Rich,Unimproved
CMR,Cameroon,total,Sanitation,2014,12.13511,535398.27763,Rich,Unimproved
CMR,Cameroon,rural,Sanitation,2014,64.43908,1308480.01167,Rich,Unimproved
CMR,Cameroon,urban,Sanitation,2014,3.17998,75728.25621,Rich,Unimproved
CMR,Cameroon,total,Drinking water,2019,68.64964,3501968.50601,Middle,At least basic
CMR,Cameroon,rural,Drinking water,2019,46.22008,1014603.16175,Middle,At least basic
CMR,Cameroon,urban,Drinking water,2019,89.39376,2597838.43631,Middle,At least basic
CMR,Cameroon,total,Sanitation,2019,43.99169,2244112.46202,Middle,At least basic
CMR,Cameroon,rural,Sanitation,2019,22.76949,499826.03583,Middle,At least basic
CMR,Cameroon,urban,Sanitation,2019,52.14122,1515256.24956,Middle,At least basic
CMR,Cameroon,total,Hygiene,2019,34.40881,1755268.95513,Middle,Basic service
CMR,Cameroon,rural,Hygiene,2019,26.47046,581068.0553,Middle,Basic service
CMR,Cameroon,urban,Hygiene,2019,39.46738,1146946.68869,Middle,Basic service
CMR,Cameroon,total,Drinking water,2019,9.88045,504023.30066,Middle,Limited service
CMR,Cameroon,rural,Drinking water,2019,6.7807,148846.96135,Middle,Limited service
CMR,Cameroon,urban,Drinking water,2019,7.90586,229749.2332,Middle,Limited service
CMR,Cameroon,total,Hygiene,2019,62.3304,3179610.0031,Middle,Limited service
CMR,Cameroon,rural,Hygiene,2019,70.01475,1536933.36362,Middle,Limited service
CMR,Cameroon,urban,Hygiene,2019,56.60477,1644969.83727,Middle,Limited service
CMR,Cameroon,total,Sanitation,2019,19.39213,989235.02059,Middle,Limited service
CMR,Cameroon,rural,Sanitation,2019,4.55377,99962.47102,Middle,Limited service
CMR,Cameroon,urban,Sanitation,2019,37.40453,1086999.00744,Middle,Limited service
CMR,Cameroon,total,Hygiene,2019,3.26079,166340.04177,Middle,No handwashing facility
CMR,Cameroon,rural,Hygiene,2019,3.51479,77155.18108,Middle,No handwashing facility
CMR,Cameroon,urban,Hygiene,2019,3.92785,114145.87404,Middle,No handwashing facility
CMR,Cameroon,total,Sanitation,2019,0.57725,29446.75129,Middle,Open defecation
CMR,Cameroon,rural,Sanitation,2019,4.64694,102007.57577,Middle,Open defecation
CMR,Cameroon,urban,Sanitation,2019,0.02983,866.9925,Middle,Open defecation
CMR,Cameroon,total,Drinking water,2019,4.3792,223392.62751,Middle,Surface water
CMR,Cameroon,rural,Drinking water,2019,10.07308,221119.91509,Middle,Surface water
CMR,Cameroon,urban,Drinking water,2019,0.05701,1656.61419,Middle,Surface water
CMR,Cameroon,total,Drinking water,2019,17.09071,871834.56582,Middle,Unimproved
CMR,Cameroon,rural,Drinking water,2019,36.92614,810586.5618,Middle,Unimproved
